"id", "Date", "Type", "CapNo", "ExptType", "investigator", 
 1, 2015-02-11, C, 1, G31, 1,  
 2, 2015-02-11, C, 3, G31, 1,  
 3, 2015-01-14, C, 4, G31, 1,  
 4, 2015-01-15, C, 1, G31, 1,  
 5, 2015-01-15, C, 2, G31, 1,  
 6, 2015-01-15, C, 3, G31, 1,  
 7, 2015-01-21, A, 2, G31, 1,  
 8, 2015-01-21, A, 4, G31, 1,  
 9, 2015-01-26, C, 2, G31, 1,  
 10, 2015-01-26, C, 4, G31, 1,  
 11, 2015-01-26, C, 1, G31, 1,  
 12, 2015-01-29, I, 4, G31, 1,  
 13, 2015-01-16, C, 1, Nafion, 1,  
 14, 2015-01-16, C, 2, Nafion, 1,  
 15, 2015-01-20, I, 1, Nafion, 1,  
 16, 2015-01-20, I, 2, Nafion, 1,  
 17, 2015-01-23, I, 1, Bare, 1,  
 18, 2015-01-23, I, 2, Nafion, 1,  
 19, 2015-01-27, A, 1, Nafion, 1,  
 20, 2015-01-27, A, 2, Nafion, 1,  
 21, 2015-01-27, A, 3, Nafion, 1,  
 22, 2015-02-13, C, 3, Nafion, 1,  
 23, 2015-01-19, A, 1, Bare, 1,  
 24, 2015-01-19, C, 2, Bare, 1,  
 25, 2015-02-13, C, 4, Bare, 1,  
 26, 2015-02-04, C, 1, hBN, 1,  
 27, 2015-02-04, C, 2, hBN, 1,  
 28, 2015-02-04, C, 3, hBN, 1,  
 29, 2015-03-20, I, 2, Nafion, 1,  
 30, 2015-03-20, I, 3, Nafion, 1,  
 31, 2015-03-20, I, 4, Nafion, 1,  
 32, 2014-04-28, C, 4, G16 - good, 1,  
 34, 2014-04-29, C, 2, G16 - good, 1,  
 35, 2014-04-29, C, 3, G16 - good, 1,  
 36, 2014-04-29, C, 4, G16 - good, 1,  
 37, 2014-04-29, H, 5, G16 - good, 1,  
 38, 2014-04-29, H, 5, G16 - good, 1,  
 39, 2014-04-29, H, 6, G16 - good, 1,  
 40, 2014-04-30, H, 1, G16 - good, 1,  
 41, 2014-04-30, H, 2, G16 - good, 1,  
 42, 2014-04-30, I, 4, G16 - good, 1,  
 43, 2014-04-30, I, 5, G16 - good, 1,  
 44, 2014-04-30, I, 6, G16 - good, 1,  
 45, 2014-04-30, I, 7, G16 - good, 1,  
